Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T006_001,SE_T006_003,SE_NV005_001,SE_NV005_003,SE_T009_001,SE_NV007_001,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"42001","Adams County","Adams County, Pennsylvania","00","42","001",3.9136153078,4.3884967714,15.315659333,4.854368932,8.4559198233,1045,4978,8.5,"",8.9,10.6,"Yes",12.25503005,10.346638655,1.8813692187,0.6401881369,82.562747688,49205,39.5
"42003","Allegheny County","Allegheny County, Pennsylvania","00","42","003",3.2201453063,3.8352725516,12.731567892,2.9015561372,5.4988366401,6940,41004,9.4,"",7.7,13.3,"Yes",13.830438262,12.577254693,0.7503648261,1.275714353,71.456442018,613550,39.2
"42005","Armstrong County","Armstrong County, Pennsylvania","00","42","005",3.9524881223,4.5385877941,16.276178514,3.4342660023,6.5368065755,448,2537,12,"",8.2,11.9,"Yes",10.14159292,8.6132952109,0.9026548673,1.592920354,83.296688196,29108,44
"42007","Beaver County","Beaver County, Pennsylvania","00","42","007",3.8043734873,4.2483242663,14.951930276,2.8346597514,5.6542744841,951,5524,12.8,"",7.5,11,"Yes",10.540617849,9.0456251805,1.0368993135,0.7937643021,81.887787122,79670,36.3
"42009","Bedford County","Bedford County, Pennsylvania","00","42","009",3.9134479742,4.4448872658,15.521744413,5.2385311769,7.5327002329,515,2102,11.3,"",8.4,10.6,"Yes",11.617312073,9.472342595,1.695773222,1.0883320678,81.165413534,21280,35.1
"42011","Berks County","Berks County, Pennsylvania","00","42","011",4.3174491198,4.3260814092,18.21500451,5.349968063,8.3930949385,5193,20610,12.8,"",8.7,10,"Yes",15.487044933,13.741946142,1.5644473598,0.9445719908,79.840852804,199061,32.3
"42013","Blair County","Blair County, Pennsylvania","00","42","013",4.0824384808,4.5171564207,16.438205968,3.481772123,6.604368354,914,4714,14.6,"",7.7,11.2,"Yes",13.246982632,11.791873142,1.0695711903,1.0205082916,82.820024438,55652,20.1
"42015","Bradford County","Bradford County, Pennsylvania","00","42","015",3.9794198478,4.423330849,16.075543758,5.5947104556,8.7873258609,770,3034,13.8,"",8.3,9,"Yes",11.088421483,9.0119390696,1.5519705942,1.1843986114,81.356383991,26261,31.9
"42017","Bucks County","Bucks County, Pennsylvania","00","42","017",3.2557117315,3.6307206668,12.354754827,3.3146964856,5.9733499896,4565,22952,8.1,"",8.8,10.1,"Yes",14.941224332,13.719827586,1.1262659786,0.6059567908,81.96573823,324560,43.4
"42019","Butler County","Butler County, Pennsylvania","00","42","019",3.4737124139,3.8691623397,13.57096933,2.8503682777,5.1789496165,1130,5820,9.2,"",8.6,11.9,"Yes",10.82129481,9.4242955373,0.5818619583,1.4379347245,84.489586068,91416,42.8
"42021","Cambria County","Cambria County, Pennsylvania","00","42","021",4.1787457164,4.5617934948,16.712596617,3.0249990487,6.2350573393,795,4616,14.3,"",7.5,11.6,"Yes",12.348160447,10.932105869,0.8302018701,1.284628157,82.349478191,56055,28.3
"42023","Cameron County","Cameron County, Pennsylvania","00","42","023",4.0813041754,4.5013306283,15.950440481,4.0718562874,7.0182241179,34,181,11.2,"",7.9,8.9,"No",10.068649886,7.1662763466,0.6407322654,2.2425629291,79.482262704,2086,22.3
"42025","Carbon County","Carbon County, Pennsylvania","00","42","025",3.9991972104,4.3873812145,16.700428876,3.9635821364,6.7282460376,505,2564,8.3,"",8.3,10.2,"Yes",14.061592098,12.468193384,1.5456130157,1.1427464652,83.81703799,28771,51.8
"42027","Centre County","Centre County, Pennsylvania","00","42","027",3.8228413742,4.2436675386,15.252009729,5.1590483828,7.1205612387,1351,6912,7.6,"",7.9,8.9,"No",17.787323573,16.59758515,2.1916367143,0.8941877794,68.482712766,75200,22.6
"42029","Chester County","Chester County, Pennsylvania","00","42","029",3.5040232563,3.9835714508,13.00806522,4.4696771327,7.0005319456,5633,21846,8.6,"",8.7,10.4,"Yes",14.460154242,12.975759866,1.2532133676,0.910454156,79.040995773,265442,42.8
"42031","Clarion County","Clarion County, Pennsylvania","00","42","031",4.1389498011,4.5839856804,16.824325623,5.4366841609,8.5945044333,404,1958,14.5,"",8,10.9,"No",12.870662461,11.087025821,1.4195583596,1.356466877,82.181776026,17252,29.4
"42033","Clearfield County","Clearfield County, Pennsylvania","00","42","033",4.0999033029,4.429646423,17.917194986,3.8574479445,8.2299327708,578,3648,10.6,"",8,10.8,"Yes",11.787254432,10.103526367,1.0381728158,1.5333013896,83.185149585,33292,31.8
"42035","Clinton County","Clinton County, Pennsylvania","00","42","035",4.0501310142,4.4681107387,15.730382748,5.9785951532,8.2216588193,486,1816,9.3,"",7.7,9.7,"Yes",11.556764106,10.126668949,1.3256288239,0.6798096533,77.77333942,17524,30.6
"42037","Columbia County","Columbia County, Pennsylvania","00","42","037",4.0658293758,4.5356771474,16.845909908,3.6043449638,6.4859808227,438,2496,13.2,"",8.1,10.5,"Yes",12.464428002,11.516679597,0.8726996775,0.6260671599,84.054226368,29801,28.7
"42039","Crawford County","Crawford County, Pennsylvania","00","42","039",4.1221105285,4.6916242586,16.081079806,6.1821129424,8.6612359433,1144,4136,13.8,"",8.1,10.9,"Yes",12.005792904,9.4724570096,1.3758146271,1.9406227371,77.10166437,37732,28
"42041","Cumberland County","Cumberland County, Pennsylvania","00","42","041",3.6329922633,4.0732684641,13.657063667,4.6747891284,7.3264317731,2494,10559,10.4,"",8.5,9.8,"Yes",11.658031088,10.26550519,0.9274611399,1.3626943005,81.953765245,123976,25.8
"42043","Dauphin County","Dauphin County, Pennsylvania","00","42","043",3.8682848791,4.5557147786,17.386853318,4.5329562417,7.4768323505,2885,12425,11.2,"",7.6,10.7,"Yes",14.10035387,12.436920818,1.6513927956,0.9481898194,77.923353594,135401,24.4
"42045","Delaware County","Delaware County, Pennsylvania","00","42","045",3.8058490016,4.0071985475,15.294496958,3.0049368488,6.5226139341,3859,21882,10.1,"",8.2,11.9,"No",17.049751977,15.59434829,1.3309758853,0.7882716959,73.149817657,270095,46.9
"42047","Elk County","Elk County, Pennsylvania","00","42","047",3.8999351976,4.3204388857,15.561453006,3.6073134574,5.8806993872,219,1046,10.5,"",8.6,9.8,"No",6.2874251497,5.2723146747,0.3667664671,0.9356287425,86.723654334,14974,19.6
"42049","Erie County","Erie County, Pennsylvania","00","42","049",4.1670098976,4.7878348128,18.196010488,3.6686038832,7.5070553848,2222,11917,9.5,"",7.3,10.9,"Yes",14.076059794,12.408088235,1.4403198691,0.985960289,79.072560307,124903,19.5
"42051","Fayette County","Fayette County, Pennsylvania","00","42","051",4.2751061135,4.8151482713,18.179877997,3.6330190848,7.1669234988,948,5488,14,"",7.3,11.5,"Yes",12.738794148,10.578386606,2.2458298388,0.5591277607,85.647573337,53963,35.8
"42053","Forest County","Forest County, Pennsylvania","00","42","053",4.024906198,4.1516259423,18.091985716,4.347826087,7.286333202,25,185,8.3,"",7.9,9.8,"No",10.468319559,8.4952803998,0.6611570248,1.3223140496,81.35391924,842,42.8
"42055","Franklin County","Franklin County, Pennsylvania","00","42","055",3.7112269075,4.2283369082,14.946833646,5.7599594012,8.6322195225,2043,7745,12.7,"",8.3,10.4,"Yes",11.23926587,9.8075455702,1.321771342,0.6987708368,82.204994015,71846,31.5
"42057","Fulton County","Fulton County, Pennsylvania","00","42","057",3.9554784989,4.3545208628,15.571089319,5.7208994709,8.1068360984,173,689,17.9,"",8.3,9.9,"No",11.43572621,9.7457627119,1.2520868114,0.5843071786,78.741366078,6515,46.9
"42059","Greene County","Greene County, Pennsylvania","00","42","059",3.9333617418,4.3995082072,15.883192154,3.8817760828,6.5214183839,285,1326,10.6,"",7.8,11,"Yes",10.451388889,8.0308880309,0.7569444444,1.875,83.41729639,14292,44.4
"42061","Huntingdon County","Huntingdon County, Pennsylvania","00","42","061",4.014020202,4.3906628443,16.636070951,3.7945660896,6.7023096664,331,1567,16.2,"",8.3,10.8,"Yes",10.662739323,9.1557669441,1.1487481591,0.706921944,78.646034816,18095,42
"42063","Indiana County","Indiana County, Pennsylvania","00","42","063",4.2168585854,4.6540965201,17.220362897,6.1821852132,7.6913764578,980,3812,10.7,"",7.4,11.7,"Yes",16.236054022,13.594887799,1.5560775103,2.7304756312,79.947658402,36300,29.4
"42065","Jefferson County","Jefferson County, Pennsylvania","00","42","065",4.0813915236,4.4347939535,16.307425864,5.5075821398,8.4207609169,523,2127,13.9,"",8.3,10.8,"No",11.220043573,8.532967033,1.1383442266,2.5326797386,82.901395491,19563,27
"42067","Juniata County","Juniata County, Pennsylvania","00","42","067",3.9902335824,4.4465214477,16.260005637,5.8948486458,9.9313857254,333,1404,12,"",8,10.9,"Yes",10.777479893,7.3141616929,2.144772118,2.2520107239,79.139222232,11083,43.5
